DATE,LATITUDE,LONGITUDE,SEA_LVL_PRES,SST_MM,SEA_SURF_TEMP,WAVE_PERIOD,WAVE_HGT
2013-08-31,37.54,130.0,10090.375,9.0,239.16666666666666,8.0,4.666666666666667
2013-09-01,37.54,130.0,10127.318181818182,9.0,244.25,8.25,3.8333333333333335
2013-09-02,37.54,130.0,10128.130434782608,9.0,252.625,8.0,3.0833333333333335
2013-09-03,37.54,130.0,10102.52380952381,9.0,248.66666666666666,6.458333333333333,2.2916666666666665
2013-09-04,37.54,130.0,10139.08695652174,9.0,237.20833333333334,6.458333333333333,3.9166666666666665
2013-09-05,37.54,130.0,10185.238095238095,9.0,226.125,6.333333333333333,2.25
2013-09-06,37.54,130.0,10192.904761904761,9.0,226.20833333333334,9.041666666666666,2.6666666666666665
2013-09-07,37.54,130.0,10171.5,9.0,228.0,8.428571428571429,1.7142857142857142
2013-09-08,37.54,130.0,10174.0,9.0,229.3913043478261,6.565217391304348,1.0
2013-09-09,37.54,130.0,10144.052631578947,9.0,232.1818181818182,4.7272727272727275,1.0
2013-09-10,37.54,130.0,10141.478260869566,9.0,232.08333333333334,2.8333333333333335,1.0
2013-09-11,37.54,130.0,10135.772727272728,9.0,230.29166666666666,3.0,0.875
2013-09-12,37.54,130.0,10158.045454545454,9.0,233.5,3.3333333333333335,0.75
2013-09-13,37.54,130.0,10103.0,9.0,234.91666666666666,4.375,1.4166666666666667
2013-09-14,37.54,130.0,10084.857142857143,9.0,232.875,3.0833333333333335,0.9166666666666666
2013-09-15,37.54,130.0,10079.0,9.0,229.58333333333334,4.791666666666667,2.3333333333333335
2013-09-16,37.54,130.0,10131.416666666666,9.0,231.16666666666666,7.291666666666667,3.9166666666666665
2013-09-17,37.54,130.0,10186.40909090909,9.0,225.0,6.958333333333333,1.4583333333333333
2013-09-18,37.54,130.0,10196.458333333334,9.0,229.83333333333334,4.75,1.1666666666666667
2013-09-19,37.54,130.0,10180.0,9.0,227.95833333333334,4.5,1.7083333333333333
2013-09-20,37.54,130.0,10144.9,9.0,236.04166666666666,4.666666666666667,1.0833333333333333
2013-09-21,37.54,130.0,10155.764705882353,9.0,254.375,4.958333333333333,1.75
2013-09-22,37.54,130.0,10194.954545454546,9.0,250.375,6.25,3.0416666666666665
2013-09-23,37.54,130.0,10154.0,9.0,254.45833333333334,5.708333333333333,2.0
2013-09-24,37.54,130.0,10098.222222222223,9.0,252.17391304347825,6.565217391304348,2.9130434782608696
2013-09-25,37.54,130.0,10124.782608695652,9.0,245.125,7.333333333333333,3.8333333333333335
2013-09-26,37.54,130.0,10178.526315789473,9.0,229.82608695652175,6.826086956521739,2.6956521739130435
2013-09-27,37.54,130.0,10174.722222222223,9.0,239.58333333333334,4.458333333333333,2.1666666666666665
2013-09-28,37.54,130.0,10165.0,9.0,243.17391304347825,4.173913043478261,1.1304347826086956
